"source_id","city"
"prodoc_909121-unarokova","А. Тахтамукай"
"doc_mobile_Id_104895","Абаза"
"doc_mail_id_m_004953","Абакан"
"doc_mobile_Id_204219","Абан"
"doc_mail_id_m_007784","Абатское"
"doc_mobile_Id_208783","Абдулино"
"doc_mobile_Id_029900","Абзаково"
"doc_apteka_RPS_64744","Абинск"
"doc_mobile_Id_108952","Абрау-Дюрсо"
"doc_apteka_RPS_67077","Авдон"
"doc_mobile_Id_078873","Автуры"
"doc_mobile_Id_140915","Агалатово"
"doc_mobile_Id_097578","Агаповка"
"doc_mobile_Id_349752","Агвали"
"prodoc_642100-safiullina","Агидель"
"doc_mobile_Id_347174","Агинское"
"doc_apteka_RPS_02969","Агой"
"doc_apteka_RPS_61327","Агроном"
"prodoc_603796-grigoreva","Агрыз"
"doc_mail_id_m_042186","Адамовка"
"prodoc_943752-ahmad","Адлер"
"doc_mobile_Id_084922","Адыге-Хабль"
"doc_mobile_Id_097497","Адыгейск"
"doc_mobile_Id_054723","Азнакаево"
"doc_mobile_Id_261701","Азов"
"doc_mail_id_m_043793","Азово"
"doc_mail_id_m_099597","Айкино"
"doc_mobile_Id_095212","Айхал"
"doc_mobile_Id_081004","Ак-Довурак"
"doc_apteka_RPS_new_28005","Акбердино"
"doc_mobile_Id_238357","Акбулак"
"doc_mail_id_m_036577","Аксай"
"doc_mobile_Id_239318","Аксаково"
"doc_mobile_Id_238593","Аксарка"
"doc_mobile_Id_082187","Аксубаево"
"doc_mail_id_m_011624","Актаныш"
"doc_mobile_Id_106085","Акташ"
"doc_mobile_Id_268412","Актюбинский"
"doc_mobile_Id_015611","Акулово"
"doc_mobile_Id_239449","Акуша"
"doc_apteka_RPS_new_01788","Акша"
"doc_apteka_RPS_00405","Акъяр"
"doc_mobile_Id_227808","Алабино"
"prodoc_587996-kayumova","Алагир"
"doc_apteka_RPS_new_22244","Алакуртти"
"doc_mobile_Id_084126","Алапаевск"
"prodoc_4059-gayfutdinov","Алатырь"
"prodoc_892804-buyanova","Алдан"
"doc_mobile_Id_000071","Алейск"
"doc_mail_id_m_110569","Александров"
"doc_apteka_RPS_07697","Александровка"
"doc_mail_id_m_039861","Александровск"
"doc_mobile_Id_124602","Александровск-Сахалинский"
"doc_mobile_Id_038007","Александровская"
"doc_mobile_Id_098017","Александровский Завод"
"doc_mail_id_m_009735","Александровское"
"doc_mobile_Id_263718","Алексеевка"
"doc_apteka_RPS_new_18013","Алексеевская"
"doc_apteka_RPS_new_15876","Алексеевское"
"doc_mobile_Id_274582","Алексин"
"doc_apteka_RPS_51419","Алешино"
"doc_mobile_Id_055039","Аликово"
"doc_apteka_RPS_00407","Алкино-2"
"doc_mobile_Id_269673","Алмазный"
"doc_mobile_Id_276771","Алнаши"
"doc_mobile_Id_232884","Алтайское"
"doc_mobile_Id_229761","Алтухово"
"doc_mobile_Id_178864","Алупка"
"prodoc_885540-ostroverhiy","Алушта"
"doc_mail_id_m_093809","Альменево"
"doc_mobile_Id_146209","Альметьевск"
"doc_mobile_Id_095996","Амга"
"doc_mobile_Id_082940","Амурзет"
"doc_mobile_Id_096675","Амурск"
"doc_mail_id_m_001163","Анадырь"
"doc_mobile_Id_211299","Анапа"
"doc_apteka_RPS_02993","Анапская"
"doc_mobile_Id_177249","Ангарск"
"doc_mobile_Id_193098","Андреаполь"
"doc_mobile_Id_295794","Андреевка"
"doc_mobile_Id_264321","Андреево"
"doc_apteka_RPS_11047","Андреевский"
"prodoc_900145-gazitov","Анжеро-Судженск"
"doc_mobile_Id_096836","Анзорей"
"prodoc_709355-churmesheva","Анива"
"doc_mail_id_m_107202","Анна"
"doc_apteka_RPS_01574","Антиповка"
"doc_mobile_Id_236616","Анучино"
"doc_apteka_RPS_new_21689","Апастово"
"doc_mobile_Id_094058","Апатиты"
"doc_mobile_Id_153108","Апрелевка"
"doc_mobile_Id_090440","Апшеронск"
"doc_mobile_Id_303741","Арамиль"
"doc_mobile_Id_046594","Арбаж"
"doc_mail_id_m_002469","Аргаяш"
"doc_mobile_Id_208261","Аргудан"
"doc_mobile_Id_239386","Аргун"
"doc_mail_id_m_091405","Ардатов"
"doc_mobile_Id_185325","Ардон"
"doc_mail_id_m_049629","Арзамас"
"doc_mobile_Id_025969","Арзгир"
"doc_mobile_Id_100496","Аркадак"
"doc_apteka_RPS_66398","Армавир"
"doc_apteka_RPS_12276","Армизонское"
"prodoc_641176-vasilenko","Армянск"
"doc_mobile_Id_094668","Аромашево"
"doc_mail_id_m_038653","Арсеньев"
"doc_mobile_Id_028150","Арсеньево"
"doc_mobile_Id_284114","Арск"
"doc_mobile_Id_046753","Артем"
"doc_mobile_Id_098830","Артемовский"
"doc_mobile_Id_100220","Арти"
"doc_mobile_Id_208992","Артышта"
"prodoc_932426-maksimenko","Артём"
"prodoc_762993-lobzikova","Артёмовск"
"doc_mail_id_m_115915","Архангельск"
"doc_apteka_RPS_new_23555","Архангельская"
"doc_mobile_Id_238810","Архангельское"
"doc_apteka_RPS_new_03671","Архара"
"doc_mobile_Id_097734","Архипо-Осиповка"
"doc_mobile_Id_254091","Асбест"
"doc_mobile_Id_239057","Асекеево"
"prodoc_586237-bakulova","Асино"
"doc_mobile_Id_252881","Аскарово"
"doc_mobile_Id_099865","Аскиз"
"doc_apteka_RPS_00409","Аскино"
"doc_mobile_Id_142260","Астрахань"
"prodoc_690530-miskaryan","Аткарск"
"doc_mobile_Id_083893","Атюрьево"
"doc_mobile_Id_264466","Атяшево"
"doc_mail_id_m_100013","Афанасьево"
